canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Cookie Monster' with id '135'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'The Cake's the Truth' with id '136'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Sweet Tooth' with id '137'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'With a Cherry on Top' with id '138'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Mutated Presents' with id '139'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Keeper of the Flame' with id '140'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'True Lightbearer' with id '141'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Godslayer' with id '142'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'The Day After' with id '143'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Commitment Phobic' with id '144'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Heartbreaker' with id '145'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Swift Death' with id '146'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Brutal Politeness' with id '147'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Life on the Streets' with id '148'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Skull and Bones' with id '149'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Nightmare Walker' with id '150'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Exemplary Citizen' with id '151'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Demonbane' with id '152'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Of Wolves and Bears' with id '153'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Hunting with Style' with id '154'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Fool at Heart' with id '155'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'In Shining Armor' with id '156'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Aristocrat' with id '157'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Out in the Snowstorm' with id '158'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'One Thousand and One' with id '159'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Swashbuckler' with id '160'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Way of the Shaman' with id '161'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Ritualist' with id '162'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Master of War' with id '163'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Wild Warrior' with id '164'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Peazzekeeper' with id '165'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Yalahari of Wisdom' with id '166'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Yalahari of Power' with id '167'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Piece of Cake' with id '168'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Alumni' with id '169'"
canary-go-server  | time=2026-07-23T23:59:07.999Z level=DEBUG msg=lua msg="[Achievements registration] - Registering achievement 'Warlock' with id '170'"
